RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,0.6,1650,88508,339,16311,109002
PU,1,483,14481,460,2136,17978
PU,0.3,862,10762,427,2801,15350
PU,0.3,958,4191,1441,1353,8189
PU,0.1,522,14056,1404,2363,18820
PU,0.2,139,2230,520,391,3413
PU,0.2,358,20598,1490,3502,27062
PU,0.6,778,15046,417,3087,20006
PU,0.2,397,10006,743,1448,12939
PU,0.2,2577,18251,1279,3318,26665
PU,1.7,673,10448,610,2617,14967
PU,2,247,22304,35,3313,26296
PU,1.1,534,18147,394,2440,21926
PU,0.9,541,23094,329,2929,27359
PU,0.4,1515,8399,433,2481,13409
PU,1.7,348,7565,1296,1347,10703
PU,1.4,3044,61533,1250,12409,81748
PU,0.2,3733,13628,4250,3480,25657
PU,0.3,202,12818,59,2297,15543
PU,0.1,412,30721,957,2726,35509
PU,0.3,116,3186,0,305,3668
PU,0.9,292,27870,1372,2752,32780
PU,0.2,828,8579,823,1696,12464
PU,0.3,213,30002,742,3091,34568
PU,0.7,637,25615,365,7183,36082
PR,1.1,112,19211,40,4868,25282
PU,1.6,232,15307,152,3270,19669
PU,0.2,212,14575,178,1695,17513
PU,0.6,2993,34664,1045,6205,48000
PU,0.2,726,4078,474,939,7033
PU,0.1,265,11271,141,1720,13648
PU,0.4,86,4825,211,830,6151
PU,1.4,176,12727,161,1313,14481
PU,0.1,421,17845,426,3028,22524
PU,0.7,139,8204,1173,878,10524
PU,2.3,707,25942,424,5291,34214
PU,0.5,599,19523,779,2256,23764
PU,2.7,168,6061,719,725,7857
PU,0.7,683,16408,1151,3224,22172
TM,2.6,1024,116929,807,21742,146357
PU,1.2,1163,11040,1387,2226,16312
PU,1.8,1641,16874,1501,3770,24849
PU,0.1,1808,28338,1197,4027,37369
PU,0.2,1867,5436,3088,1955,12832
PU,1.3,1716,11124,613,2454,16378
PU,0.9,942,11321,671,2571,16171
PU,1.9,1583,92716,212,16664,114200
PU,0.7,1201,16001,3148,1863,22653
PU,0.7,4385,59842,4127,11552,82816
PU,2.5,844,35114,427,5056,42456
PU,1.1,236,15613,1672,1374,19342
PU,0.8,481,21331,1158,2422,26032
PU,0.6,2086,33231,5621,7564,50682
PR,0.4,506,47817,54,8037,60352
PU,0.6,290,11865,910,1816,15298
PU,1.3,1122,7249,1534,1752,12036
PU,0.6,1427,7838,2318,1802,14129
PU,0.3,337,17981,239,2064,20939
PU,1.1,1107,12380,1770,1792,18228
PU,1.6,1188,27752,266,3292,33956
PU,2,4016,90522,467,18349,120323
PU,0.8,1965,18337,898,4089,26141
PU,1.8,1125,11342,933,2425,16222
PU,2.3,913,26802,184,5499,34294
PR,3.7,145,20524,75,4435,26612
PU,0.3,1321,7990,778,2256,12757
PU,2.4,824,16027,354,2819,20554
PU,2.1,1563,11607,904,2441,17182
PU,0.4,824,16431,388,3427,21629
PU,0.3,308,1797,2348,393,4964
PU,0.2,1464,17327,3108,3580,26230
PU,0.2,2653,63699,915,13695,84990
PU,2.5,1518,89638,682,16126,113566
PU,1.5,907,34856,476,6615,45286
PU,2.5,1839,34844,2125,6217,46495
PU,0.5,474,10410,1116,1452,13780
PU,0.4,2119,17994,912,6155,27984
PU,0.3,676,13364,294,1896,16547
PU,0.9,1123,12672,1144,2176,17626
PU,1.2,226,19400,247,2206,24114
PU,0.5,324,13099,758,1987,16650
PU,0.5,310,12552,2755,2414,18920
PU,1.3,254,13968,739,1924,17148
PU,1.1,88,11461,234,1122,13081
PU,0.8,121,10289,369,1840,13043
PU,1.9,167,13805,110,1699,16124
PU,1.9,171,9598,398,1104,11442
PU,0.9,266,15550,592,1588,18287
PU,2,138,12081,226,1018,13679
PU,1.5,205,13505,916,1212,16009
PU,2.1,154,12993,335,1522,15184
PU,0.9,238,19822,1382,2382,24314
PU,0.8,1284,14556,943,3496,20867
PU,0.4,1727,11265,384,3123,17080
PU,0.9,2047,9252,954,2606,15350
PU,1.7,1248,13102,1578,3225,19919
PU,2.1,683,11842,858,1773,15457
PU,1.9,270,12625,655,1732,16074
PU,2.2,599,20055,375,2694,24921
PU,1.4,929,21024,184,2868,25556
PU,2.3,821,15462,570,3443,21156
PU,2.3,610,19824,871,4443,26895
PU,2.2,645,16467,350,2492,20403
PU,1.2,333,10511,487,1500,12989
PU,1.2,175,15213,640,1912,18128
PU,0.3,594,20837,957,3455,26015
PU,1.3,160,5897,285,1097,7526
PU,0.3,191,9071,71,1779,11651
PU,1.6,596,14101,597,2032,17787
PU,0.5,2640,24796,2823,3530,34632
PU,0.1,352,15187,557,1944,18486
PU,0.5,949,12868,2118,1608,17912
PU,0.4,79,4738,1009,479,6370
PU,0.6,208,18783,786,2278,22306
PU,1.3,323,16065,444,2775,19949
PU,1.7,316,16152,395,2725,19853
PU,2.3,335,22664,593,3859,28132
PU,1.4,98,8539,136,1475,10419
PU,1.6,348,11218,517,2028,14315
PU,1.1,583,16241,272,3311,21287
PU,1.9,565,13333,520,2579,17608
PU,0.3,240,12714,59,2168,16078
PU,1.2,280,11693,499,1474,14089
PU,2,389,15573,216,2861,19418
PU,0.5,490,2844,383,846,5040
PU,0.4,502,4016,4718,1836,11382
PU,0.7,287,11379,838,2312,15057
PU,2,494,18727,278,2495,22247
PU,1.8,1192,13255,1297,1768,18049
